DWUS_BrandId,CampaignId,CampaignName,CampaignDate,CampaignEndDate
https://www.wsjwine.com,2004002,15% off Dow Jones,9/11/08,12/31/20
https://www.wsjwine.com,1929001,CS WSJ DM Unspecified Jun-20 None,5/18/20,9/13/20
https://www.wsjwine.com,1925002,CS WSJ Telemarketing Unspecified Aug-20 None,7/25/20,11/20/20
https://www.wsjwine.com,1925001,CS WSJ Telemarketing Unspecified Jul-20 None,7/10/20,11/5/20
https://www.wsjwine.com,8686001,EM WSJ Email HF - WSJ Sep-19 None,9/4/19,10/1/20
https://www.wsjwine.com,1329005,EM WSJ Email HOUSE FILE Jul-20 None,6/30/20,8/11/20
https://www.wsjwine.com,1329001,EM WSJ Email HOUSE FILE Jul-20 None,6/19/20,8/14/20
https://www.wsjwine.com,1329004,EM WSJ Email HOUSE FILE Jul-20 None,7/7/20,8/18/20
https://www.wsjwine.com,1334002,EM WSJ Email Unspecified Aug-20 Champagne Flutes (2),7/30/20,9/10/20
https://www.wsjwine.com,1334004,EM WSJ Email Unspecified Aug-20 None,7/31/20,9/11/20
https://www.wsjwine.com,1334003,EM WSJ Email Unspecified Aug-20 None,8/4/20,9/15/20
https://www.wsjwine.com,1334001,EM WSJ Email Unspecified Jul-20 None,7/11/20,9/5/20
https://www.wsjwine.com,1382001,MM WSJ DM WSJ CM Direct Mail Aug20,7/9/20,10/18/20
https://www.wsjwine.com,1382002,MM WSJ DM WSJ CM Direct Mail Aug20,7/9/20,10/18/20
https://www.wsjwine.com,1382003,MM WSJ DM WSJ CM Direct Mail Aug20,7/9/20,10/18/20
https://www.wsjwine.com,1382004,MM WSJ DM WSJ CM Direct Mail Aug20,7/9/20,10/18/20
https://www.wsjwine.com,1382005,MM WSJ DM WSJ CM Direct Mail Aug20,7/9/20,10/18/20
https://www.wsjwine.com,1382006,MM WSJ DM WSJ CM Direct Mail Aug20,7/9/20,10/18/20
